kepid	koi_period	koi_time0bk	koi_duration	koi_depth	koi_ror	koi_prad	koi_quarters	koi_disposition
7366258	51.539979720	174.0550110	6.39940	3.6443e+03	0.054350	5.51	11111111111111111000000000000000	CONFIRMED
7366258	5.902245782	136.7839300	2.90030	7.0230e+02	0.023909	2.43	11111111111111111000000000000000	CONFIRMED
7366258	2.382951591	135.0808410	1.88760	3.9160e+02	0.018369	1.86	11111111111111111000000000000000	CONFIRMED
7373451	21.022506080	207.6759300	4.10720	1.7725e+03	0.037466	3.07	11111111111111111000000000000000	CONFIRMED
6948054	3.219814777	133.0040600	2.06420	4.8820e+02	0.019702	1.69	11111111111111111000000000000000	CONFIRMED
6949607	5.912273234	172.1840120	2.32540	9.6140e+02	0.027826	1.73	11111111111111111000000000000000	CONFIRMED
6949607	8.985819010	175.6841800	2.86060	8.8130e+02	0.026527	1.65	11111111111111111000000000000000	CONFIRMED
7109675	33.601233710	186.6803430	4.40560	7.4259e+03	0.083298	8.46	11111111111111111000000000000000	CONFIRMED
7109675	6.766529280	138.0637000	2.90040	4.5070e+02	0.019382	1.97	11111111111111111000000000000000	CONFIRMED
7118364	4.347288783	172.2334300	2.10240	4.5160e+02	0.019273	2.36	11111111111111111000000000000000	CONFIRMED
7134976	4.601811819	169.9810800	2.26070	7.5590e+02	0.025790	2.35	11111111111111111000000000000000	CONFIRMED
7134976	11.187199050	137.1781400	3.25200	3.5360e+02	0.017042	1.55	11111111111111111000000000000000	CONFIRMED
7135852	4.220965778	170.6224330	3.08540	2.2600e+03	0.046401	2.62	11111111111111111000000000000000	CONFIRMED
7287995	5.954899930	170.9558710	2.38920	1.4107e+03	0.033728	2.33	11111111111111111000000000000000	CONFIRMED
7287995	12.039874880	181.2253600	2.73630	1.2506e+03	0.031605	2.18	11111111111111111000000000000000	CONFIRMED
7287995	20.837628950	132.0848800	2.37340	4.3900e+02	0.020532	1.42	11111111111111111000000000000000	CONFIRMED
7303253	23.589171430	173.8199400	5.07300	1.2007e+03	0.040151	3.16	11111111111111111000000000000000	CONFIRMED
5094751	6.481633073	122.9776570	3.78400	2.9850e+02	0.017836	2.54	11111111111111111000000000000000	CONFIRMED
7678434	10.371689280	172.6172900	3.03500	1.2549e+03	0.033023	3.20	11111111111111111000000000000000	CONFIRMED
7678434	3.969962980	137.7544700	1.17570	2.9920e+02	0.018305	1.78	11111111111111111000000000000000	CONFIRMED
7685981	4.408413310	172.1858200	5.01200	5.4940e+02	0.025379	2.66	01101111111111111000000000000000	CONFIRMED
7373451	226.890477500	207.3597100	7.55800	3.1364e+03	0.055361	4.53	11111111111111111000000000000000	CONFIRMED
7434875	9.439459486	177.1860960	2.89790	3.0361e+03	0.048953	4.16	11111111111111111000000000000000	CONFIRMED
8349582	11.523067458	131.9690550	3.87570	5.0730e+02	0.020288	3.13	11111111111111111000000000000000	CONFIRMED
7434875	20.477488430	178.6678600	2.83640	1.3824e+03	0.034376	2.92	11111111111111111000000000000000	CONFIRMED
7434875	3.336123113	135.3162300	1.96160	5.1630e+02	0.020396	1.74	11111111111111111000000000000000	CONFIRMED
7455287	8.010784560	170.2073900	2.31200	1.3336e+03	0.033470	1.72	11111111111111111000000000000000	CONFIRMED
7455287	12.071342050	143.4594800	4.32240	7.5920e+02	0.025158	1.29	11111111111111111000000000000000	CONFIRMED
7455287	20.995878720	152.3155400	2.63330	7.6730e+02	0.025412	1.30	11111111111111111000000000000000	CONFIRMED
7458762	7.411131770	175.3475400	2.52420	6.2050e+02	0.024438	2.45	11111111111111111000000000000000	CONFIRMED
757450	8.884922995	169.9916860	2.07004	1.6053e+04	0.114124	10.51	11111111111111111000000000000000	CONFIRMED
7585481	8.098889060	176.6237310	4.20241	6.9111e+03	0.076211	8.95	11111111111111111000000000000000	CONFIRMED
7663691	10.006530120	176.9689800	5.34400	9.3610e+02	0.032174	3.52	11111111111111111000000000000000	CONFIRMED
5812701	17.855221681	146.5964660	7.41287	9.0652e+03	0.088150	13.16	11111111111111111000000000000000	CONFIRMED
8039892	5.007316661	173.4339970	4.23620	6.9323e+03	0.077106	6.96	11111111111111111000000000000000	CONFIRMED
8150320	2.211116989	170.1501390	1.64850	7.2420e+02	0.026289	1.85	11111111111111111000000000000000	CONFIRMED
8150320	27.954133700	178.7379100	3.95000	9.4250e+02	0.026973	1.90	11111111111111111000000000000000	CONFIRMED
11086270	12.691043870	137.1259400	3.77270	2.5210e+02	0.014487	2.57	11111111111111111000000000000000	CONFIRMED
7825899	16.239470960	175.5699070	4.03740	2.5907e+03	0.045252	4.14	11111111111111111000000000000000	CONFIRMED
7825899	6.308201629	174.0476610	2.97850	1.3285e+03	0.032418	2.96	11111111111111111000000000000000	CONFIRMED
7849854	2.052349884	169.8906220	2.07780	1.4281e+04	0.111230	13.12	11111111111111111000000000000000	CONFIRMED
7870390	9.770448600	175.7137200	2.45170	1.8978e+03	0.040133	2.23	11111111111111111000000000000000	CONFIRMED
7870390	5.169804269	172.6315300	2.15300	1.0374e+03	0.029936	1.66	11111111111111111000000000000000	CONFIRMED
5094751	21.222611950	137.5740300	6.50930	3.6600e+02	0.017460	2.48	11111111111111111000000000000000	CONFIRMED
7870390	20.090170370	147.9778800	4.15400	1.4321e+03	0.040437	2.25	11111111111111111000000000000000	CONFIRMED
7907423	7.113732570	174.3235100	2.17640	8.0760e+02	0.025862	1.16	11111111111111111000000000000000	CONFIRMED
7907423	3.306551643	134.3721100	1.81770	5.0920e+02	0.020275	0.91	11111111111111111000000000000000	CONFIRMED
7907423	15.368457370	147.3896500	2.47140	7.5610e+02	0.024710	1.11	11111111111111111000000000000000	CONFIRMED
7938496	13.810203180	172.3353300	3.04800	1.3097e+03	0.036595	4.56	11101111111111111000000000000000	CONFIRMED
8490993	4.093578461	171.0095400	2.58330	5.3860e+02	0.026123	2.85	11111111111111111000000000000000	CONFIRMED
8490993	105.145959000	178.3670000	8.59300	6.8540e+02	0.031397	3.43	11111111111111111000000000000000	CONFIRMED
8505670	10.848451800	171.8058400	2.99930	1.6756e+03	0.036303	2.34	11111111111111111000000000000000	CONFIRMED
8505670	6.668332410	137.4398800	1.91500	3.6230e+02	0.018246	1.18	11111111111111111000000000000000	CONFIRMED
8544996	4.082274889	169.6375652	3.23015	1.7859e+04	0.121652	10.55	11111111111111111000000000000000	CONFIRMED
8150320	42.140608900	139.0604000	5.08300	8.9550e+02	0.026274	1.85	11111111111111111000000000000000	CONFIRMED
8150320	4.617490562	135.0490900	2.26180	5.7580e+02	0.023024	1.62	11111111111111111000000000000000	CONFIRMED
8150320	10.198492550	137.9206700	2.42830	6.3410e+02	0.024778	1.75	11111111111111111000000000000000	CONFIRMED
8226994	7.156815520	174.1351100	2.58820	8.6700e+02	0.026979	2.47	11111111111111111000000000000000	CONFIRMED
8226994	17.648308510	133.5453300	2.08730	7.6330e+02	0.026581	2.43	11111111111111111000000000000000	CONFIRMED
8226994	4.148107190	133.3881000	2.53500	1.7520e+02	0.011755	1.08	11111111111111111000000000000000	CONFIRMED
8247638	16.514109890	176.1168600	4.15750	9.7350e+02	0.028718	2.72	11101111111111111000000000000000	CONFIRMED
8247638	30.132929800	190.3833600	5.17200	1.0158e+03	0.033220	3.14	11101111111111111000000000000000	CONFIRMED
8247638	4.790908090	136.3110600	2.60300	2.5130e+02	0.014349	1.36	11101111111111111000000000000000	CONFIRMED
11086270	31.719810130	142.8208300	4.81900	3.6340e+02	0.017414	3.09	11111111111111111000000000000000	CONFIRMED
8247638	99.641596200	198.6866400	4.44800	9.5250e+02	0.027879	2.64	11101111111111111000000000000000	CONFIRMED
8255887	4.708326451	171.4465070	3.16114	7.9127e+03	0.080242	10.60	11111111111111111000000000000000	CONFIRMED
8414716	5.392026903	171.7270700	2.98040	1.1514e+03	0.030649	2.68	11111111111111111000000000000000	CONFIRMED
9141746	6.491682808	174.6335530	4.30100	7.1633e+03	0.079893	9.66	01101111111111111000000000000000	CONFIRMED
9166862	3.855603916	170.6787843	3.21790	1.6653e+04	0.119176	13.61	11111111111111111000000000000000	CONFIRMED
11449844	38.478766290	151.8528120	5.04169	2.3530e+04	0.138123	13.26	11111111111111111000000000000000	CONFIRMED
8628973	3.314947362	171.3130580	1.80070	1.3982e+03	0.038195	3.94	11111111111111111000000000000000	CONFIRMED
8672910	39.643155200	206.5967980	6.52920	1.5664e+04	0.111685	10.98	11111111111111111000000000000000	CONFIRMED
8689031	21.804516110	190.4973700	3.40970	1.1449e+03	0.033653	2.60	11111111111111111000000000000000	CONFIRMED
8689373	10.281945930	175.3398800	3.43660	1.1107e+03	0.029849	2.53	11111111111111111000000000000000	CONFIRMED
8689373	18.119930390	182.6153500	4.23090	1.5069e+03	0.034825	2.95	11111111111111111000000000000000	CONFIRMED
8689373	3.784028670	133.2813300	1.90120	4.2610e+02	0.020134	1.70	11111111111111111000000000000000	CONFIRMED
8826878	5.154481420	171.6389000	3.22800	6.9750e+02	0.030415	2.94	11111111111111111000000000000000	CONFIRMED
8883593	5.743469797	174.8989240	3.44120	1.2402e+03	0.032147	3.13	11111111111111111000000000000000	CONFIRMED
9077124	3.166353562	170.9661450	3.31290	1.4734e+03	0.035047	3.82	01111111111111111000000000000000	CONFIRMED
9466668	3.388012244	170.5336000	2.68490	2.8010e+02	0.015454	2.11	11111111111111111000000000000000	CONFIRMED
9466668	5.839097610	132.0926100	3.19150	2.7360e+02	0.015116	2.06	11111111111111111000000000000000	CONFIRMED
9466668	1.620467654	132.0638800	2.18880	1.5960e+02	0.011493	1.57	11111111111111111000000000000000	CONFIRMED
9466668	10.681695100	131.5508200	3.60500	3.0780e+02	0.016847	2.30	11111111111111111000000000000000	CONFIRMED
9479273	6.104849417	169.5734770	4.69120	2.0903e+03	0.040920	3.18	11111101110111011000000000000000	CONFIRMED
8359498	3.578780566	134.0304187	2.91089	1.1382e+04	0.096067	10.43	11111111111111111000000000000000	CONFIRMED
9334289	5.826657508	173.0114110	2.91830	1.5391e+03	0.035356	4.09	11111111111111111000000000000000	CONFIRMED
9334289	12.412163470	142.5403900	3.73900	6.1130e+02	0.022270	2.58	11111111111111111000000000000000	CONFIRMED
9334289	18.746490110	147.1307400	3.89500	7.9680e+02	0.026327	3.05	11111111111111111000000000000000	CONFIRMED
9347899	20.860212290	180.0177570	5.19370	1.9105e+03	0.040067	5.50	11111111111111111000000000000000	CONFIRMED
9347899	42.634278480	141.1695400	6.19980	1.7193e+03	0.038058	5.22	11111111111111111000000000000000	CONFIRMED
9347899	87.647606800	134.9422200	8.87100	1.0096e+03	0.029163	4.00	11111111111111111000000000000000	CONFIRMED
9388479	9.467821474	178.4158420	2.43270	2.2370e+03	0.042684	2.13	11111111111111111000000000000000	CONFIRMED
9388479	0.893040969	134.5403420	1.09810	7.4170e+02	0.024717	1.24	11111111111111111000000000000000	CONFIRMED
11359879	4.942783419	136.3294353	3.25346	1.1145e+04	0.099444	10.62	11111111111111111000000000000000	CONFIRMED
9406990	20.834267310	176.5856900	4.04540	9.8840e+02	0.028495	2.74	11111111111111111000000000000000	CONFIRMED
9415172	9.946023570	171.7019200	3.38620	9.9450e+02	0.028229	3.12	11111111111111111000000000000000	CONFIRMED
9415172	1.045621950	133.9191200	1.89550	2.1300e+02	0.013092	1.45	11111111111111111000000000000000	CONFIRMED
9415172	5.714623960	132.6386600	2.33600	2.9780e+02	0.016046	1.78	11111111111111111000000000000000	CONFIRMED
3231341	8.145159810	140.5681100	5.07300	4.4680e+02	0.025296	3.43	11111111111111111000000000000000	CONFIRMED
3231341	18.998527900	144.7415700	4.52900	4.3070e+02	0.318792	43.17	11111111111111111000000000000000	CONFIRMED
3231341	4.244390490	137.0664300	3.28200	1.7400e+02	0.015253	2.07	11111111111111111000000000000000	CONFIRMED
7626506	28.574269200	143.8315000	4.94270	8.2490e+02	0.026109	2.32	11111111111111111000000000000000	CONFIRMED
10482160	7.343739640	137.2987400	1.17840	5.7440e+02	0.022075	1.84	11111101110111011000000000000000	CONFIRMED
8559644	224.778935500	142.0953380	11.18990	3.4875e+03	0.056891	7.67	11111111111111111000000000000000	CONFIRMED
