kepid	koi_period	koi_prad	koi_quarters
5648449	4.348866254	2436.69	11111111111111111000000000000000
12167361	47.930945460	68.02	11111111111111111000000000000000
8607720	3.997514220	2.98	
1433962	1.592633181	1.56	11111111111111111000000000000000
9032900	67.592375400	12.10	11111111111111111000000000000000
5956342	17.029027860	2.54	11111111111111111000000000000000
5956342	6.846192360	1.67	11111111111111111000000000000000
5956342	67.832163800	2.39	11111111111111111000000000000000
5956342	43.131214700	2.39	11111111111111111000000000000000
5956656	1.224866441	1.54	11111111111111111000000000000000
3109930	37.810264900	2.33	11111111111111111000000000000000
2854914	25.934064060	2.48	11111111111111111000000000000000
2854914	83.446348500	2.73	11111111111111111000000000000000
3337425	7.047100320	25.20	11111111111111111000000000000000
3116412	12.992048530	2.03	11111111111111111000000000000000
3865567	11.116202110	8.96	11111011101110111000000000000000
3544689	1.922861499	5.09	11111111111111111000000000000000
4037164	0.635445336	19.00	11111111111111111000000000000000
3443790	1.665784138	97.27	11111111111111111000000000000000
3966912	55.663916700	34.14	11111011101110111000000000000000
8394721	52.090816270	7.14	11111111111111111000000000000000
11607193	7.154860800	7.41	
1161345	4.287466680	2.29	11111111111111111000000000000000
10227501	2.002779769	1.42	11111101110111011000000000000000
2854698	8.187394430	1.92	11111111111111111000000000000000
2854698	76.049816300	1.75	11111111111111111000000000000000
8559644	3.341799486	1.67	11111111111111111000000000000000
6032981	3.322694800	15.33	
5866099	36.977088080	38.60	11111111111111111000000000000000
5964985	1.851409163	20.42	
6066416	1.303859704	0.98	11111111111111111000000000000000
1996679	145.562492600	40.15	11111111111111111000000000000000
2849805	3.749105745	1.68	11111111111111111000000000000000
3114811	11.089566020	3.51	11111111111111111000000000000000
2853446	7.372903440	2.67	11111111111111111000000000000000
3003992	7.244761260	0.65	11111011101110111000000000000000
3942446	119.062488200	10.40	11111111111111111000000000000000
3554031	8.707983090	2.01	00011011101110111000000000000000
3554031	14.862307600	1.57	00011011101110111000000000000000
3554031	4.176342760	1.23	00011011101110111000000000000000
8394721	27.402298590	3.63	11111111111111111000000000000000
7295235	3.179267286	1.21	11111111111111111000000000000000
2302548	10.381224470	2.18	11111111111111111000000000000000
2302548	24.570902300	2.82	11111111111111111000000000000000
10743597	81.221876000	16.59	
10743597	0.817026268	2.92	11111101110111011000000000000000
9818381	3.024092505	12.14	11111111111111111000000000000000
6124941	5.670155713	5.85	11111111111111111000000000000000
6060203	1.022678654	1.14	11111111111111111000000000000000
5880320	12.109687090	2.98	11111111111111111000000000000000
5880320	4.757961030	1.70	11111111111111111000000000000000
5880320	20.497275500	2.96	11111111111111111000000000000000
3003992	13.554805340	0.62	11111011101110111000000000000000
6307537	29.744546680	20.06	11111111111111111000000000000000
